sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,leftCorrect,responseLeft,confidence
24,55,46,72,58,48,66,60,69,57,51,30,25,53,40,42,-45,-2,-5,42,33,-5,26,18,0,1,1,5
57,48,39,77,28,38,51,52,36,71,48,41,45,41,18,29,21,-23,-9,36,-17,-3,33,23,0,1,1,5
38,37,62,60,21,45,66,47,25,17,39,46,67,37,44,34,13,20,23,14,-46,8,22,13,0,1,1,6
62,38,44,29,64,52,47,22,41,44,48,38,76,64,49,31,21,-6,-4,-9,-12,-12,-2,-9,1,0,0,3
38,67,49,43,26,65,51,32,36,40,84,45,58,61,49,62,2,27,-35,-2,-32,4,2,-30,1,0,0,6
53,56,30,66,25,35,33,27,47,41,79,41,60,51,29,47,6,15,-49,25,-35,-16,4,-20,1,0,0,6
26,54,48,45,36,76,58,40,65,46,44,42,14,60,45,38,-39,8,4,3,22,16,13,2,0,1,0,3
38,71,39,60,29,50,58,32,39,32,69,56,48,26,24,48,-1,39,-30,4,-19,24,34,-16,0,1,1,5
49,65,29,39,63,28,63,50,58,44,59,45,35,39,23,15,-9,21,-30,-6,28,-11,40,35,0,1,1,5
65,47,78,39,52,57,29,62,36,49,40,43,55,53,83,43,29,-2,38,-4,-3,4,-54,19,0,1,1,4
72,48,70,64,30,64,56,38,51,34,64,48,73,62,46,30,21,14,6,16,-43,2,10,8,0,1,1,5
57,50,35,20,32,61,23,37,49,59,58,18,30,60,46,55,8,-9,-23,2,2,1,-23,-18,1,0,0,5
49,31,41,68,48,46,20,31,66,33,42,34,60,63,30,41,-17,-2,-1,34,-12,-17,-10,-10,1,0,0,4
79,58,48,59,48,50,29,38,53,54,45,50,44,43,17,69,26,4,3,9,4,7,12,-31,0,1,0,4
36,58,36,61,61,70,34,34,51,48,46,46,75,28,32,35,-15,10,-10,15,-14,42,2,-1,0,1,0,5
30,68,36,49,26,65,49,39,53,67,51,41,81,50,34,49,-23,1,-15,8,-55,15,15,-10,1,0,0,6
45,35,45,58,54,63,83,50,26,45,47,38,59,65,71,48,19,-10,-2,20,-5,-2,12,2,0,1,1,5
44,40,71,53,18,51,38,43,35,35,59,44,44,82,46,50,9,5,12,9,-26,-31,-8,-7,1,0,0,5
26,65,38,45,47,59,71,48,45,35,45,58,54,63,83,50,-19,30,-7,-13,-7,-4,-12,-2,1,0,1,4
69,51,30,25,57,40,53,42,24,55,46,72,58,48,66,60,45,-4,-16,-47,-1,-8,-13,-18,1,0,0,5
25,54,42,53,38,41,65,69,36,64,49,55,53,51,30,76,-11,-10,-7,-2,-15,-10,35,-7,1,0,1,5
65,47,63,59,72,34,37,36,51,42,61,50,46,75,29,32,14,5,2,9,26,-41,8,4,0,1,1,4
25,58,56,65,53,24,39,46,57,21,46,25,41,32,57,60,-32,37,10,40,12,-8,-18,-14,0,1,1,5
50,40,69,58,28,66,55,33,32,39,66,57,59,58,29,29,18,1,3,1,-31,8,26,4,0,1,0,5
48,25,71,43,51,56,31,37,36,58,52,37,50,53,21,18,12,-33,19,6,1,3,10,19,0,1,1,5
45,43,62,69,54,28,32,35,22,40,48,64,36,17,31,43,23,3,14,5,18,11,1,-8,0,1,0,2
55,45,43,69,64,29,39,29,55,45,37,67,77,57,35,65,0,0,6,2,-13,-28,4,-36,1,0,0,6
45,52,56,44,13,38,23,28,49,39,64,55,22,56,25,51,-4,13,-8,-11,-9,-18,-2,-23,1,0,0,3
21,50,38,43,48,36,62,67,39,56,18,59,43,43,24,22,-18,-6,20,-16,5,-7,38,45,0,1,1,6
51,57,32,59,77,46,35,38,37,63,50,15,40,45,51,59,14,-6,-18,44,37,1,-16,-21,0,1,0,4
30,42,70,62,31,51,58,64,69,39,52,28,44,59,59,26,-39,3,18,34,-13,-8,-1,38,0,1,1,5
72,46,57,27,34,28,39,42,65,57,50,56,41,17,53,35,7,-11,7,-29,-7,11,-14,7,1,0,0,3
65,68,55,49,24,71,44,56,63,33,37,44,73,50,32,34,2,35,18,5,-49,21,12,22,0,1,0,4
40,24,45,59,64,65,38,31,36,57,71,28,37,60,47,62,4,-33,-26,31,27,5,-9,-31,1,0,0,4
42,33,29,30,53,67,67,47,44,13,32,46,30,61,31,50,-2,20,-3,-16,23,6,36,-3,0,1,1,5
45,67,34,59,48,33,68,69,41,55,16,52,44,63,63,57,4,12,18,7,4,-30,5,12,0,1,1,2
41,43,43,59,34,11,53,28,66,51,46,53,30,61,46,21,-25,-8,-3,6,4,-50,7,7,1,0,0,6
79,58,48,59,48,50,29,38,17,53,54,45,50,44,69,43,62,5,-6,14,-2,6,-40,-5,0,1,0,3
62,17,54,63,37,43,57,44,58,48,60,18,40,39,25,55,4,-31,-6,45,-3,4,32,-11,0,1,1,1
51,43,32,28,23,40,71,31,40,40,46,27,46,52,56,77,11,3,-14,1,-23,-12,15,-46,1,0,1,2
67,43,22,58,39,41,54,65,28,19,45,40,40,50,68,37,39,24,-23,18,-1,-9,-14,28,0,1,1,3
47,26,30,54,38,26,69,48,42,39,43,75,42,36,73,51,5,-13,-13,-21,-4,-10,-4,-3,1,0,0,6
84,47,55,53,40,37,46,47,42,39,53,38,71,59,78,59,42,8,2,15,-31,-22,-32,-12,1,0,0,5
46,20,41,37,61,59,21,48,63,50,42,41,20,62,33,60,-17,-30,-1,-4,41,-3,-12,-12,1,0,0,5
79,57,55,59,36,68,50,37,52,49,43,71,69,23,54,44,27,8,12,-12,-33,45,-4,-7,0,1,0,2
28,19,68,45,37,40,40,50,67,43,22,58,39,41,54,65,-39,-24,46,-13,-2,-1,-14,-15,1,0,0,6
55,45,29,43,69,39,29,64,55,45,37,67,77,57,35,65,0,0,-8,-24,-8,-18,-6,-1,1,0,0,6
39,36,37,57,78,40,57,45,60,82,63,48,34,46,45,44,-21,-46,-26,9,44,-6,12,1,1,0,0,6
67,44,43,66,35,54,28,31,20,52,51,68,58,62,50,37,47,-8,-8,-2,-23,-8,-22,-6,1,0,1,6
30,57,63,33,44,53,23,56,35,62,42,38,71,73,44,58,-5,-5,21,-5,-27,-20,-21,-2,1,0,0,6
60,46,75,39,32,31,44,35,34,63,68,36,47,67,41,67,26,-17,7,3,-15,-36,3,-32,1,0,0,6
51,59,41,26,24,56,22,38,44,64,50,28,36,62,35,66,7,-5,-9,-2,-12,-6,-13,-28,1,0,0,6
55,39,44,54,36,69,26,63,70,57,46,46,18,40,45,33,-15,-18,-2,8,18,29,-19,30,0,1,1,5
35,56,64,34,47,46,31,18,46,24,76,41,50,50,44,31,-11,32,-12,-7,-3,-4,-13,-13,1,0,1,5
42,43,67,47,46,52,61,17,29,27,64,41,45,29,43,63,13,16,3,6,1,23,18,-46,0,1,1,2
51,65,59,41,65,21,44,56,20,52,53,39,26,63,31,52,31,13,6,2,39,-42,13,4,0,1,0,2
51,56,54,60,37,87,38,56,40,40,45,56,63,68,23,38,11,16,9,4,-26,19,15,18,0,1,1,6
31,57,60,41,28,55,27,60,74,43,37,39,62,61,33,45,-43,14,23,2,-34,-6,-6,15,1,0,0,6
30,63,57,44,53,33,56,23,35,62,42,38,71,73,44,58,-5,1,15,6,-18,-40,12,-35,1,0,0,6
72,50,34,38,68,64,52,39,52,39,36,20,65,61,44,38,20,11,-2,18,3,3,8,1,0,1,1,6
70,27,65,60,63,58,45,39,64,63,54,38,19,61,47,45,6,-36,11,22,44,-3,-2,-6,0,1,1,4
58,48,18,60,25,40,55,39,62,17,54,63,37,43,57,44,-4,31,-36,-3,-12,-3,-2,-5,1,0,0,2
46,67,27,43,71,48,65,63,34,48,75,37,67,34,57,51,12,19,-48,6,4,14,8,12,0,1,1,4
40,67,66,34,25,43,50,43,32,44,20,66,24,38,47,32,8,23,46,-32,1,5,3,11,0,1,1,6
64,47,39,44,22,53,69,52,55,41,16,40,57,47,65,36,9,6,23,4,-35,6,4,16,0,1,1,6
16,57,49,49,60,63,42,58,44,50,32,58,80,57,65,38,-28,7,17,-9,-20,6,-23,20,1,0,0,6
37,38,79,56,66,41,60,55,49,44,21,61,55,54,55,26,-12,-6,58,-5,11,-13,5,29,0,1,1,6
35,57,50,61,20,32,23,37,49,59,58,18,30,60,46,55,-14,-2,-8,43,-10,-28,-23,-18,1,0,0,6
68,57,18,47,53,55,66,52,47,59,49,20,67,35,53,57,21,-2,-31,27,-14,20,13,-5,0,1,1,1
59,46,29,41,24,58,63,59,60,27,20,47,52,35,41,61,-1,19,9,-6,-28,23,22,-2,0,1,1,2
45,41,31,23,56,63,33,23,55,64,28,64,55,47,26,34,-10,-23,3,-41,1,16,7,-11,1,0,0,6
50,45,46,39,15,32,42,68,63,27,25,43,54,62,38,53,-13,18,21,-4,-39,-30,4,15,1,0,0,4
65,68,55,49,24,71,44,56,33,37,63,73,44,32,50,34,32,31,-8,-24,-20,39,-6,22,0,1,0,3
41,36,28,49,27,66,30,62,69,39,51,65,30,41,40,68,-28,-3,-23,-16,-3,25,-10,-6,1,0,0,6
47,38,20,72,28,48,43,38,46,27,50,55,71,68,48,32,1,11,-30,17,-43,-20,-5,6,1,0,0,6
70,44,32,62,40,54,27,58,60,32,42,59,68,71,36,48,10,12,-10,3,-28,-17,-9,10,1,0,1,3
69,27,28,43,35,41,29,55,71,28,53,39,39,42,30,57,-2,-1,-25,4,-4,-1,-1,-2,1,0,0,5
47,68,37,26,42,47,72,40,64,75,43,37,64,64,35,59,-17,-7,-6,-11,-22,-17,37,-19,1,0,0,5
45,61,23,35,65,31,57,53,27,58,68,34,41,27,49,31,18,3,-45,1,24,4,8,22,0,1,1,2
52,56,37,30,67,65,76,58,73,56,46,40,25,40,35,58,-21,0,-9,-10,42,25,41,0,0,1,1,6
44,54,53,47,48,21,13,37,53,57,37,53,75,38,28,41,-9,-3,16,-6,-27,-17,-15,-4,1,0,0,6
16,67,51,50,53,50,60,48,13,55,54,41,44,26,57,40,3,12,-3,9,9,24,3,8,0,1,1,6
40,35,52,32,67,47,40,73,54,28,59,42,41,51,14,28,-14,7,-7,-10,26,-4,26,45,0,1,1,6
56,38,34,33,18,40,66,27,28,47,41,58,48,42,77,36,28,-9,-7,-25,-30,-2,-11,-9,1,0,0,6
61,20,46,29,48,48,41,64,62,57,76,30,60,56,46,36,-1,-37,-30,-1,-12,-8,-5,28,1,0,0,6
56,62,44,35,14,43,40,57,35,65,62,38,28,49,41,65,21,-3,-18,-3,-14,-6,-1,-8,1,0,0,2
45,43,62,69,54,28,32,35,22,40,31,17,64,48,36,43,23,3,31,52,-10,-20,-4,-8,0,1,1,1
20,29,41,36,64,22,46,52,75,54,31,46,54,47,40,27,-55,-25,10,-10,10,-25,6,25,1,0,1,1
40,67,66,34,25,43,50,43,32,44,20,38,32,66,24,47,8,23,46,-4,-7,-23,26,-4,0,1,1,6
59,61,34,26,61,37,63,40,54,27,18,42,58,35,55,32,5,34,16,-16,3,2,8,8,0,1,1,6
45,67,34,59,48,33,68,69,55,16,41,44,63,52,63,57,-10,51,-7,15,-15,-19,5,12,0,1,1,6
54,73,41,50,42,67,37,31,58,19,43,60,33,45,22,49,-4,54,-2,-10,9,22,15,-18,0,1,1,6
39,54,28,46,48,34,73,28,40,57,23,40,37,62,61,64,-1,-3,5,6,11,-28,12,-36,1,0,0,6
47,76,32,31,54,38,50,59,41,63,25,18,48,55,48,55,6,13,7,13,6,-17,2,4,0,1,1,6
52,50,49,47,32,50,75,77,20,47,72,48,44,56,35,49,32,3,-23,-1,-12,-6,40,28,0,1,1,6
58,42,56,29,18,54,56,57,32,51,50,51,23,59,53,20,26,-9,6,-22,-5,-5,3,37,0,1,1,6
46,23,64,66,45,58,61,38,58,26,34,68,36,55,37,54,-12,-3,30,-2,9,3,24,-16,0,1,1,1
69,39,51,65,30,41,40,68,41,28,27,66,36,49,62,30,28,11,24,-1,-6,-8,-22,38,0,1,1,6
42,34,34,30,48,66,72,41,48,46,73,28,46,64,68,62,-6,-12,-39,2,2,2,4,-21,1,0,0,6
63,70,58,43,54,41,78,35,55,60,54,40,59,35,73,29,8,10,4,3,-5,6,5,6,0,1,1,6
39,69,32,56,26,48,48,24,38,71,39,60,29,50,58,32,1,-2,-7,-4,-3,-2,-10,-8,1,0,0,6
47,17,44,52,23,35,55,23,53,24,39,44,58,26,52,64,-6,-7,5,8,-35,9,3,-41,1,0,0,6
25,47,38,59,60,35,47,72,64,56,51,46,34,82,44,38,-39,-9,-13,13,26,-47,3,34,1,0,0,6
21,62,18,29,46,46,50,38,71,50,27,43,63,38,48,33,-50,12,-9,-14,-17,8,2,5,1,0,0,6
72,48,70,64,30,64,56,38,73,51,34,48,46,62,64,30,-1,-3,36,16,-16,2,-8,8,0,1,1,2
54,28,42,14,59,41,28,51,40,35,52,32,67,47,40,73,14,-7,-10,-18,-8,-6,-12,-22,1,0,0,6
38,40,47,65,22,40,69,48,46,24,41,49,20,36,65,26,-8,16,6,16,2,4,4,22,0,1,1,6
20,36,48,72,35,40,29,46,79,48,57,34,37,44,33,57,-59,-12,-9,38,-2,-4,-4,-11,1,0,0,6
68,57,18,47,53,55,66,52,59,47,67,20,49,53,57,35,9,10,-49,27,4,2,9,17,0,1,1,6
36,58,49,79,41,42,33,62,40,64,55,31,60,61,45,79,-4,-6,-6,48,-19,-19,-12,-17,1,0,0,3
