subject,sequences_ 1,sequences_ 2,sequences_ 3,sequences_ 4,sequences_ 5,sequences_ 6,sequences_ 7,sequences_ 8,sequences_ 9,sequences_10,sequences_11,sequences_12,sequences_13,sequences_14,sequences_15,sequences_16,responseLeft
1,48,69,69,64,53,64,64,22,47,34,51,71,37,35,32,61,1
1,16,42,41,33,72,33,47,44,38,49,24,47,52,69,57,62,0
1,34,32,31,58,36,27,62,56,55,50,73,67,53,25,40,57,0
1,62,50,42,63,37,73,40,70,81,92,67,56,71,43,56,54,0
1,38,47,72,55,31,45,56,70,51,20,35,39,39,31,45,67,1
1,54,59,72,49,78,52,27,62,23,27,55,48,40,70,44,54,1
1,67,41,40,57,66,78,64,76,78,47,48,54,46,59,41,28,1
1,54,47,36,59,31,60,19,25,51,46,48,24,75,66,49,53,0
1,70,61,36,67,38,28,55,59,65,42,19,37,51,21,49,49,1
1,24,78,46,42,46,45,38,39,47,36,34,70,63,68,56,66,0
1,52,58,61,75,41,69,51,30,44,62,26,35,43,25,64,60,1
1,21,40,29,20,48,57,32,53,29,57,65,39,21,63,51,46,0
1,57,43,43,57,88,59,62,70,56,49,51,59,50,62,55,17,1
1,36,56,64,47,28,31,36,62,37,20,39,38,22,68,25,39,1
1,64,63,52,54,80,32,36,53,54,40,31,59,64,34,20,50,1
1,50,65,45,30,61,71,63,38,65,28,71,57,79,65,75,60,0
1,46,53,59,71,28,71,73,65,49,54,77,53,26,41,47,42,1
1,59,25,60,41,73,56,59,51,64,37,50,65,24,44,32,26,1
1,59,72,93,49,64,51,46,70,86,34,55,45,53,48,45,65,1
1,33,50,43,67,26,17,36,42,43,60,61,34,51,66,52,21,0
1,77,42,66,54,57,60,27,50,64,56,41,39,30,61,53,19,0
1,33,39,34,44,23,32,70,48,67,45,71,34,59,46,40,36,1
1,40,60,39,26,27,21,32,61,53,22,50,28,54,49,60,70,0
1,67,33,27,53,30,25,52,41,75,59,35,57,58,45,51,27,0
1,50,57,25,34,47,50,22,63,69,60,43,72,49,30,40,67,0
1,35,49,63,42,33,63,75,37,37,42,16,36,55,54,25,54,0
1,41,26,24,35,68,26,53,25,31,44,49,77,42,31,46,55,0
1,34,58,53,30,43,47,19,67,45,57,29,42,74,63,51,66,0
1,47,23,30,54,64,37,41,67,51,41,45,41,54,83,70,58,0
1,19,56,55,47,61,49,23,45,61,59,40,41,73,74,48,40,0
1,43,55,36,43,74,73,52,35,21,37,38,65,31,57,47,32,0
1,66,43,31,64,66,58,76,51,41,30,53,39,20,52,63,64,1
1,33,77,64,80,58,63,48,61,31,48,30,73,52,39,62,62,1
1,74,50,55,86,54,42,62,68,41,56,75,67,40,48,54,27,1
1,49,74,60,33,70,39,39,55,81,38,65,49,56,71,72,80,0
1,55,45,21,57,69,69,53,44,70,84,48,82,53,43,61,56,0
1,39,56,57,67,44,51,40,80,54,51,95,56,74,54,56,77,0
1,67,35,37,28,57,31,32,23,53,60,38,60,48,59,18,61,0
1,46,51,48,69,74,63,25,62,66,34,51,47,44,40,57,20,1
1,59,61,65,39,76,46,41,36,48,51,59,28,32,65,20,44,1
1,84,41,46,48,43,50,48,68,66,29,48,39,44,44,19,56,1
1,32,65,66,41,58,37,61,34,78,48,69,83,63,50,48,44,0
1,31,32,29,49,49,69,24,53,56,48,61,50,40,27,69,67,0
1,67,45,47,41,70,65,25,49,55,51,57,61,59,41,62,96,0
1,52,48,58,43,74,34,51,27,39,40,17,38,20,48,42,68,1
1,35,54,29,75,56,65,39,61,71,69,80,59,52,75,40,43,0
1,55,47,43,57,82,51,34,57,26,27,51,35,65,55,49,34,1
