subject,sequenceA1,sequenceA2,sequenceA3,sequenceA4,sequenceA5,sequenceA6,sequenceA7,sequenceA8,sequenceB1,sequenceB2,sequenceB3,sequenceB4,sequenceB5,sequenceB6,sequenceB7,sequenceB8,isDifferentMeanSameVariance,sequenceChoiceLeft
1,37,59,68,59,69,40,27,47,44,48,15,57,50,40,51,20,1,1
1,33,92,53,61,85,45,54,60,48,54,53,74,59,61,55,76,0,0
1,25,65,27,58,12,55,61,57,49,47,51,44,36,30,64,41,0,1
1,61,46,64,47,29,47,33,72,55,75,74,80,59,41,49,48,1,1
1,82,44,38,56,72,55,66,67,44,34,33,42,69,47,58,73,1,0
1,47,45,72,64,65,48,49,56,36,23,85,67,75,55,54,56,0,0
1,22,51,42,90,67,54,61,54,69,49,43,42,61,53,59,63,0,0
1,54,47,60,39,53,67,50,16,36,71,62,53,85,44,56,57,1,0
1,71,70,62,65,58,32,78,46,68,57,25,57,59,41,62,33,1,1
1,55,57,39,70,43,63,85,49,40,50,69,71,46,43,30,37,1,1
1,38,28,44,24,50,46,49,50,47,46,47,81,20,22,24,39,0,1
1,33,63,56,47,52,53,83,39,59,61,25,40,50,52,27,27,1,0
1,45,41,31,64,52,65,78,43,45,57,40,23,23,34,52,62,1,0
1,58,52,63,47,55,70,38,58,92,59,72,32,50,54,46,36,0,1
1,82,63,41,13,50,50,64,60,41,66,40,49,48,59,61,59,0,0
1,59,52,43,26,26,71,45,41,47,71,62,68,29,40,66,55,1,0
1,29,15,69,47,64,26,55,23,60,35,48,41,36,33,29,48,0,1
1,71,65,98,53,57,55,55,25,60,65,74,68,50,63,59,44,0,1
1,75,31,49,49,41,44,71,42,46,69,79,43,73,73,50,44,1,1
1,30,49,39,49,61,62,77,58,64,37,41,26,42,47,24,62,1,0
1,52,45,35,31,51,71,45,21,63,60,56,68,26,36,54,70,1,0
1,51,38,75,37,66,44,32,55,61,55,50,23,42,42,20,27,1,1
1,62,70,51,20,60,43,44,43,53,85,73,49,68,37,55,53,1,0
1,58,46,83,62,58,34,73,65,59,41,48,54,57,46,20,72,1,0
1,19,34,39,53,59,68,39,80,40,62,65,42,41,43,49,49,0,1
1,65,36,57,29,54,56,72,68,37,54,72,24,56,40,41,37,1,1
1,41,55,64,52,64,67,42,56,74,69,56,23,66,47,31,76,0,0
1,49,68,84,66,31,63,61,25,61,52,55,67,56,71,47,41,0,0
1,48,64,51,39,26,16,48,42,75,45,45,38,46,69,33,63,1,0
1,52,64,65,47,55,57,63,37,88,37,48,68,55,66,22,54,0,0
1,66,17,53,41,77,56,47,75,64,66,49,43,46,42,61,61,0,0
1,37,48,28,72,36,27,53,54,52,66,56,35,59,41,82,43,1,1
1,33,71,69,38,68,64,51,65,47,62,28,65,62,28,35,46,1,1
1,50,60,29,71,67,38,36,54,50,34,26,40,65,48,18,45,1,0
1,51,26,63,53,49,20,40,55,68,43,59,29,58,50,77,54,1,0
1,37,22,60,48,30,40,66,39,62,47,55,82,54,31,52,44,1,0
1,74,57,45,37,37,78,92,52,48,42,62,56,62,68,73,59,0,1
1,49,52,79,55,50,53,66,52,41,78,68,39,70,25,79,55,0,1
1,35,77,77,73,23,57,53,56,66,44,49,70,53,66,45,57,0,1
1,55,56,57,52,20,49,39,73,67,34,71,59,71,41,63,75,1,0
1,64,42,32,64,26,34,26,37,44,71,28,47,73,43,44,55,1,0
1,64,55,44,60,52,74,60,48,56,78,93,61,54,35,32,50,0,0
