subject,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,human_choice,normative_choice,EV_left,EV_right,EV_diff,complexity,is_correct,dataset_source,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,37,59,68,59,69,40,27,47,44,48,15,57,50,40,51,20,1,1,50.75,40.625,10.125,5.519887343793819,1,lab,21.877142752196868,53.0,-24.0,3,2.0794415416798357
1,33,92,53,61,85,45,54,60,48,54,53,74,59,61,55,76,0,1,60.375,60.0,0.375,14.672563479403125,0,lab,19.44824863580266,38.0,-16.0,-3,1.9061547465398496
1,25,65,27,58,12,55,61,57,49,47,51,44,36,30,64,41,1,0,45.0,45.25,-0.25,15.288661461013943,0,lab,19.803724397193573,25.0,-24.0,0,1.6674619334292948
1,61,46,64,47,29,47,33,72,55,75,74,80,59,41,49,48,1,0,49.875,60.125,-10.25,4.9333241858735715,0,lab,19.343926695477318,24.0,-33.0,-2,1.9061547465398496
1,82,44,38,56,72,55,66,67,44,34,33,42,69,47,58,73,0,1,60.0,50.0,10.0,5.279616051022574,0,lab,11.926860441876563,38.0,-6.0,6,1.9061547465398496
1,47,45,72,64,65,48,49,56,36,23,85,67,75,55,54,56,0,0,55.75,56.375,-0.625,14.721959525152423,1,lab,10.919449390880477,22.0,-13.0,-3,2.0794415416798357
1,22,51,42,90,67,54,61,54,69,49,43,42,61,53,59,63,0,1,55.125,54.875,0.25,14.685416521365136,0,lab,24.081891537003482,48.0,-47.0,2,1.9061547465398496
1,54,47,60,39,53,67,50,16,36,71,62,53,85,44,56,57,0,0,48.25,58.0,-9.75,5.912588121593016,1,lab,21.241174637952582,23.0,-41.0,-4,2.0794415416798357
1,71,70,62,65,58,32,78,46,68,57,25,57,59,41,62,33,1,1,60.25,50.25,10.0,5.489781577973698,1,lab,12.835497652993435,37.0,-9.0,4,1.9061547465398496
1,55,57,39,70,43,63,85,49,40,50,69,71,46,43,30,37,1,1,57.625,48.25,9.375,5.76201313557819,1,lab,22.499652775098554,55.0,-30.0,2,2.0794415416798357
1,38,28,44,24,50,46,49,50,47,46,47,81,20,22,24,39,1,1,41.125,40.75,0.375,14.941521580741933,1,lab,27.11981517267402,30.0,-57.0,0,2.0794415416798357
1,33,63,56,47,52,53,83,39,59,61,25,40,50,52,27,27,0,1,53.25,42.625,10.625,4.96759974047518,0,lab,22.560682059725057,56.0,-26.0,6,1.9061547465398496
1,45,41,31,64,52,65,78,43,45,57,40,23,23,34,52,62,0,1,52.375,42.0,10.375,5.190854725434557,0,lab,22.349147075447867,41.0,-19.0,1,2.0794415416798357
1,58,52,63,47,55,70,38,58,92,59,72,32,50,54,46,36,1,0,55.125,55.125,0.0,14.921461054467823,0,lab,17.10263137648707,22.0,-34.0,0,2.0794415416798357
1,82,63,41,13,50,50,64,60,41,66,40,49,48,59,61,59,0,0,52.875,52.875,0.0,15.344380078712858,1,lab,19.62778642639052,41.0,-36.0,2,1.9061547465398496
1,59,52,43,26,26,71,45,41,47,71,62,68,29,40,66,55,0,0,45.375,54.75,-9.375,6.05859431024845,1,lab,21.017477845831074,31.0,-42.0,-4,1.9061547465398496
1,29,15,69,47,64,26,55,23,60,35,48,41,36,33,29,48,1,0,41.0,41.25,-0.25,15.331506131736218,0,lab,22.280877451303393,28.0,-31.0,0,2.0794415416798357
1,71,65,98,53,57,55,55,25,60,65,74,68,50,63,59,44,1,0,59.875,60.375,-0.5,14.935349040433131,0,lab,13.275918047351754,24.0,-19.0,-1,2.0794415416798357
1,75,31,49,49,41,44,71,42,46,69,79,43,73,73,50,44,1,0,50.25,59.625,-9.375,6.075862974820101,0,lab,24.565918973244212,29.0,-38.0,-2,2.0794415416798357
1,30,49,39,49,61,62,77,58,64,37,41,26,42,47,24,62,0,1,53.125,42.875,10.25,4.876136320951231,0,lab,23.461404476288287,53.0,-34.0,2,2.0794415416798357
1,52,45,35,31,51,71,45,21,63,60,56,68,26,36,54,70,0,0,43.875,54.125,-10.25,5.506480148391857,1,lab,26.569484375877526,35.0,-49.0,-4,2.0794415416798357
1,51,38,75,37,66,44,32,55,61,55,50,23,42,42,20,27,1,1,49.75,40.0,9.75,5.724172029546525,1,lab,15.642490210960657,28.0,-17.0,4,2.0794415416798357
1,62,70,51,20,60,43,44,43,53,85,73,49,68,37,55,53,0,0,49.125,59.125,-10.0,5.700849233932114,1,lab,12.0,9.0,-29.0,-4,2.0794415416798357
1,58,46,83,62,58,34,73,65,59,41,48,54,57,46,20,72,0,1,59.875,49.625,10.25,5.364096195425466,0,lab,20.849160654568326,53.0,-12.0,2,2.0794415416798357
1,19,34,39,53,59,68,39,80,40,62,65,42,41,43,49,49,1,0,48.875,48.875,0.0,15.094701056993477,0,lab,22.44994432064365,31.0,-28.0,0,2.0794415416798357
1,65,36,57,29,54,56,72,68,37,54,72,24,56,40,41,37,1,1,54.625,45.125,9.5,5.779070652366261,1,lab,18.76832437912346,31.0,-18.0,2,1.9061547465398496
1,41,55,64,52,64,67,42,56,74,69,56,23,66,47,31,76,0,0,55.125,55.25,-0.125,15.072450444071203,1,lab,19.732191338014132,29.0,-33.0,0,2.0794415416798357
1,49,68,84,66,31,63,61,25,61,52,55,67,56,71,47,41,0,0,55.875,56.25,-0.375,14.74879471781691,1,lab,17.254981164869466,29.0,-25.0,-2,2.0794415416798357
1,48,64,51,39,26,16,48,42,75,45,45,38,46,69,33,63,0,0,41.75,51.75,-10.0,5.506987672229144,1,lab,22.91833327273168,19.0,-53.0,0,2.0794415416798357
1,52,64,65,47,55,57,63,37,88,37,48,68,55,66,22,54,0,1,55.0,54.75,0.25,14.998497193712785,0,lab,24.508926945094924,41.0,-36.0,-1,2.0794415416798357
1,66,17,53,41,77,56,47,75,64,66,49,43,46,42,61,61,0,0,54.0,54.0,0.0,15.05988047761336,1,lab,22.28788908802267,31.0,-49.0,2,1.9061547465398496
1,37,48,28,72,36,27,53,54,52,66,56,35,59,41,82,43,1,0,44.375,54.25,-9.875,5.7015582420079784,0,lab,21.23933555928716,37.0,-29.0,-4,2.0794415416798357
1,33,71,69,38,68,64,51,65,47,62,28,65,62,28,35,46,1,1,57.375,46.625,10.75,4.844870951694341,1,lab,21.53920843485201,41.0,-27.0,4,2.0794415416798357
1,50,60,29,71,67,38,36,54,50,34,26,40,65,48,18,45,0,1,50.625,40.75,9.875,5.486070926208237,0,lab,13.109514674464497,31.0,-10.0,5,2.0794415416798357
1,51,26,63,53,49,20,40,55,68,43,59,29,58,50,77,54,0,0,44.625,54.75,-10.125,5.114067119304471,1,lab,18.374149640187433,24.0,-37.0,-2,1.9061547465398496
1,37,22,60,48,30,40,66,39,62,47,55,82,54,31,52,44,0,0,42.75,53.375,-10.625,4.634832895546399,1,lab,17.341694698039174,14.0,-34.0,-2,1.9061547465398496
1,74,57,45,37,37,78,92,52,48,42,62,56,62,68,73,59,1,1,59.0,58.75,0.25,15.254300478684401,1,lab,18.32177666057525,26.0,-25.0,0,2.0794415416798357
1,49,52,79,55,50,53,66,52,41,78,68,39,70,25,79,55,1,1,57.0,56.875,0.125,15.304274124209472,1,lab,17.602822927019403,28.0,-26.0,0,2.0794415416798357
1,35,77,77,73,23,57,53,56,66,44,49,70,53,66,45,57,1,1,56.375,56.25,0.125,14.995488307811579,1,lab,22.047888220870497,33.0,-31.0,0,2.0794415416798357
1,55,56,57,52,20,49,39,73,67,34,71,59,71,41,63,75,0,0,50.125,60.125,-10.0,5.551527256189342,1,lab,20.3654118544163,22.0,-51.0,-4,2.0794415416798357
1,64,42,32,64,26,34,26,37,44,71,28,47,73,43,44,55,0,0,40.625,50.625,-10.0,5.619965855703185,1,lab,21.459263733874934,20.0,-47.0,-2,1.9061547465398496
