sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,responseLeft,confidence,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
24,55,46,72,58,48,66,60,69,57,51,30,25,53,40,42,-45,-2,-5,42,33,-5,26,18,0,1,5,53.625,45.875,7.75,1,1,-7.75,14.681053549842169,6.931053549842169,26.104357873734415,42.0,-45.0,0,1.9061547465398496
57,48,39,77,28,38,51,52,36,71,48,41,45,41,18,29,21,-23,-9,36,-17,-3,33,23,0,1,5,48.75,41.125,7.625,1,1,-7.625,15.097323162291607,7.472323162291607,21.788400010097117,36.0,-23.0,0,2.0794415416798357
38,37,62,60,21,45,66,47,25,17,39,46,67,37,44,34,13,20,23,14,-46,8,22,13,0,1,6,47.0,38.625,8.375,1,1,-8.375,15.193063110073185,6.818063110073185,21.112422291153614,23.0,-46.0,6,1.9061547465398496
62,38,44,29,64,52,47,22,41,44,48,38,76,64,49,31,21,-6,-4,-9,-12,-12,-2,-9,1,0,3,44.75,48.875,-4.125,0,1,-4.125,14.363002239550521,10.238002239550521,10.067739319231503,21.0,-12.0,-6,1.7328679513998633
38,67,49,43,26,65,51,32,36,40,84,45,58,61,49,62,2,27,-35,-2,-32,4,2,-30,1,0,6,46.375,54.375,-8.0,0,1,-8.0,15.0858653491715,7.085865349171501,20.59732992404598,27.0,-35.0,0,1.9061547465398496
53,56,30,66,25,35,33,27,47,41,79,41,60,51,29,47,6,15,-49,25,-35,-16,4,-20,1,0,6,40.625,49.375,-8.75,0,1,-8.75,15.344923156101716,6.594923156101716,23.90475894042858,25.0,-49.0,0,2.0794415416798357
26,54,48,45,36,76,58,40,65,46,44,42,14,60,45,38,-39,8,4,3,22,16,13,2,0,0,3,47.875,44.25,3.625,1,0,-3.625,14.865928606492544,11.240928606492544,17.384889272008607,22.0,-39.0,6,2.0794415416798357
38,71,39,60,29,50,58,32,39,32,69,56,48,26,24,48,-1,39,-30,4,-19,24,34,-16,0,1,5,47.125,42.75,4.375,1,1,-4.375,14.892811465043573,10.517811465043573,24.06728848458006,39.0,-30.0,0,2.0794415416798357
49,65,29,39,63,28,63,50,58,44,59,45,35,39,23,15,-9,21,-30,-6,28,-11,40,35,0,1,5,48.25,39.75,8.5,1,1,-8.5,15.362291495737216,6.862291495737216,24.005207768315607,40.0,-30.0,0,2.0794415416798357
65,47,78,39,52,57,29,62,36,49,40,43,55,53,83,43,29,-2,38,-4,-3,4,-54,19,0,1,4,53.625,50.25,3.375,1,1,-3.375,14.685451984872648,11.310451984872648,26.25803448470582,38.0,-54.0,0,2.0794415416798357
72,48,70,64,30,64,56,38,51,34,64,48,73,62,46,30,21,14,6,16,-43,2,10,8,0,1,5,55.25,51.0,4.25,1,1,-4.25,14.719035294474974,10.469035294474974,18.713297411199342,21.0,-43.0,6,2.0794415416798357
57,50,35,20,32,61,23,37,49,59,58,18,30,60,46,55,8,-9,-23,2,2,1,-23,-18,1,0,5,39.375,46.875,-7.5,0,1,-7.5,15.213480864023197,7.713480864023197,11.651180197731044,8.0,-23.0,0,1.7328679513998633
49,31,41,68,48,46,20,31,66,33,42,34,60,63,30,41,-17,-2,-1,34,-12,-17,-10,-10,1,0,4,41.75,46.125,-4.375,0,1,-4.375,14.317675556225366,9.942675556225366,15.531721572317732,34.0,-17.0,-6,1.7328679513998633
79,58,48,59,48,50,29,38,53,54,45,50,44,43,17,69,26,4,3,9,4,7,12,-31,0,0,4,51.125,46.875,4.25,1,0,-4.25,14.48677557866714,10.23677557866714,15.031217515557413,26.0,-31.0,6,1.9061547465398496
36,58,36,61,61,70,34,34,51,48,46,46,75,28,32,35,-15,10,-10,15,-14,42,2,-1,0,0,5,48.75,45.125,3.625,1,0,-3.625,14.502729628130929,10.877729628130929,17.712548517929317,42.0,-15.0,0,2.0794415416798357
30,68,36,49,26,65,49,39,53,67,51,41,81,50,34,49,-23,1,-15,8,-55,15,15,-10,1,0,6,45.25,53.25,-8.0,0,1,-8.0,15.128339851638271,7.128339851638271,22.02839077191069,15.0,-55.0,0,1.9061547465398496
45,35,45,58,54,63,83,50,26,45,47,38,59,65,71,48,19,-10,-2,20,-5,-2,12,2,0,1,5,54.125,49.875,4.25,1,1,-4.25,14.268847185389575,10.018847185389575,10.59186008215743,20.0,-10.0,0,1.9061547465398496
