subject,sequences_ 1,sequences_ 2,sequences_ 3,sequences_ 4,sequences_ 5,sequences_ 6,sequences_ 7,sequences_ 8,sequences_ 9,sequences_10,sequences_11,sequences_12,sequences_13,sequences_14,sequences_15,sequences_16,responseLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,48,69,69,64,53,64,64,22,47,34,51,71,37,35,32,61,1,56.625,46.0,10.625,1,1,-10.625,15.546569825313021,4.921569825313021,23.285926543730227,35.0,-39.0,4,2.0794415416798357
1,16,42,41,33,72,33,47,44,38,49,24,47,52,69,57,62,0,41.0,49.75,-8.75,0,1,-8.75,15.173990905493518,6.423990905493518,17.76759691123141,20.0,-36.0,-4,2.0794415416798357
1,34,32,31,58,36,27,62,56,55,50,73,67,53,25,40,57,0,42.0,52.5,-10.5,0,1,-10.5,15.088627063675034,4.588627063675034,17.698870020427858,22.0,-42.0,-4,2.0794415416798357
1,62,50,42,63,37,73,40,70,81,92,67,56,71,43,56,54,0,54.625,65.0,-10.375,0,1,-10.375,15.548713773171079,5.1737137731710785,23.732559385788967,30.0,-42.0,-2,2.0794415416798357
1,38,47,72,55,31,45,56,70,51,20,35,39,39,31,45,67,1,51.75,40.875,10.875,1,1,-10.875,14.85359103606487,3.97859103606487,15.67990353924411,37.0,-13.0,4,2.0794415416798357
1,54,59,72,49,78,52,27,62,23,27,55,48,40,70,44,54,1,56.625,45.125,11.5,1,1,-11.5,16.061859585158043,4.561859585158043,20.426698215815495,38.0,-18.0,4,2.0794415416798357
1,67,41,40,57,66,78,64,76,78,47,48,54,46,59,41,28,1,61.125,50.125,11.0,1,1,-11.0,15.05489953470298,4.0548995347029795,18.894443627691185,48.0,-11.0,2,2.0794415416798357
1,54,47,36,59,31,60,19,25,51,46,48,24,75,66,49,53,0,41.375,51.5,-10.125,0,1,-10.125,15.777489238363202,5.652489238363202,22.95341750153994,35.0,-44.0,-2,2.0794415416798357
1,70,61,36,67,38,28,55,59,65,42,19,37,51,21,49,49,1,51.75,41.625,10.125,1,1,-10.125,15.973806684694791,5.848806684694791,11.773248277344702,30.0,-13.0,6,2.0794415416798357
1,24,78,46,42,46,45,38,39,47,36,34,70,63,68,56,66,0,44.75,55.0,-10.25,0,1,-10.25,15.257238719156666,5.007238719156666,23.052928230487336,42.0,-28.0,-4,1.9061547465398496
1,52,58,61,75,41,69,51,30,44,62,26,35,43,25,64,60,1,54.625,44.875,9.75,1,1,-9.75,15.506987672229144,5.756987672229144,25.380849079571785,44.0,-30.0,0,2.0794415416798357
1,21,40,29,20,48,57,32,53,29,57,65,39,21,63,51,46,0,37.5,46.375,-8.875,0,1,-8.875,15.255463502190507,6.380463502190507,17.870628836165782,27.0,-36.0,-4,1.9061547465398496
1,57,43,43,57,88,59,62,70,56,49,51,59,50,62,55,17,1,59.875,49.875,10.0,1,1,-10.0,14.746185947559457,4.746185947559457,21.2602916254693,53.0,-8.0,0,2.0794415416798357
1,36,56,64,47,28,31,36,62,37,20,39,38,22,68,25,39,1,45.0,36.0,9.0,1,1,-9.0,14.979986648859205,5.979986648859205,20.645822822062577,36.0,-37.0,4,2.0794415416798357
1,64,63,52,54,80,32,36,53,54,40,31,59,64,34,20,50,1,54.25,44.0,10.25,1,1,-10.25,15.730543537970963,5.480543537970963,9.871043511199817,23.0,-5.0,4,1.9061547465398496
1,50,65,45,30,61,71,63,38,65,28,71,57,79,65,75,60,0,52.875,62.5,-9.625,0,1,-9.625,15.426033190681265,5.801033190681265,20.142849227455386,37.0,-27.0,-4,2.0794415416798357
1,46,53,59,71,28,71,73,65,49,54,77,53,26,41,47,42,1,58.25,48.625,9.625,1,1,-9.625,15.323049087349858,5.698049087349858,15.913339530092356,30.0,-18.0,2,2.0794415416798357
1,59,25,60,41,73,56,59,51,64,37,50,65,24,44,32,26,1,53.0,42.75,10.25,1,1,-10.25,15.628499608087784,5.378499608087784,22.089307368045745,49.0,-24.0,2,2.0794415416798357
1,59,72,93,49,64,51,46,70,86,34,55,45,53,48,45,65,1,63.0,53.875,9.125,1,1,-9.125,15.819687101836116,6.6946871018361165,19.757514393263136,38.0,-27.0,6,1.9061547465398496
1,33,50,43,67,26,17,36,42,43,60,61,34,51,66,52,21,0,39.25,48.5,-9.25,0,1,-9.25,15.4483008774428,6.198300877442801,24.113015157793935,33.0,-49.0,-4,1.9061547465398496
1,77,42,66,54,57,60,27,50,64,56,41,39,30,61,53,19,0,54.125,45.375,8.75,1,0,-8.75,15.635429852315115,6.885429852315115,19.266226926930972,31.0,-26.0,2,2.0794415416798357
1,33,39,34,44,23,32,70,48,67,45,71,34,59,46,40,36,1,40.375,49.75,-9.375,0,0,-9.375,14.54404230833597,5.169042308335969,23.700936162945126,30.0,-37.0,-2,2.0794415416798357
1,40,60,39,26,27,21,32,61,53,22,50,28,54,49,60,70,0,38.25,48.25,-10.0,0,1,-10.0,15.868207208125309,5.868207208125309,20.359273071502333,38.0,-28.0,-6,1.9061547465398496
1,67,33,27,53,30,25,52,41,75,59,35,57,58,45,51,27,0,41.0,50.875,-9.875,0,1,-9.875,15.407655023829335,5.532655023829335,13.327016732937645,14.0,-28.0,-4,1.9061547465398496
1,50,57,25,34,47,50,22,63,69,60,43,72,49,30,40,67,0,43.5,53.75,-10.25,0,1,-10.25,15.590060936378665,5.340060936378665,15.974589196595948,20.0,-38.0,-6,1.9061547465398496
1,35,49,63,42,33,63,75,37,37,42,16,36,55,54,25,54,0,49.625,39.875,9.75,1,0,-9.75,15.355780670483673,5.605780670483673,24.727262282751806,50.0,-22.0,2,2.0794415416798357
1,41,26,24,35,68,26,53,25,31,44,49,77,42,31,46,55,0,37.25,46.875,-9.625,0,1,-9.625,15.656601376629178,6.031601376629178,21.569292408421745,26.0,-42.0,-2,2.0794415416798357
1,34,58,53,30,43,47,19,67,45,57,29,42,74,63,51,66,0,43.875,53.375,-9.5,0,1,-9.5,15.46555312083384,5.965553120833841,17.18284027743958,24.0,-32.0,-2,1.9061547465398496
1,47,23,30,54,64,37,41,67,51,41,45,41,54,83,70,58,0,45.375,55.375,-10.0,0,1,-10.0,15.58578412100805,5.58578412100805,19.595917942265423,13.0,-46.0,-2,2.0794415416798357
1,19,56,55,47,61,49,23,45,61,59,40,41,73,74,48,40,0,44.375,54.5,-10.125,0,1,-10.125,15.262017123128471,5.137017123128471,18.141371916147907,15.0,-42.0,-2,1.9061547465398496
1,43,55,36,43,74,73,52,35,21,37,38,65,31,57,47,32,0,51.375,41.0,10.375,1,0,-10.375,15.367579510124553,4.992579510124553,17.936955566650656,43.0,-22.0,4,2.0794415416798357
1,66,43,31,64,66,58,76,51,41,30,53,39,20,52,63,64,1,56.875,45.25,11.625,1,1,-11.625,15.75,4.125,20.346605982325407,46.0,-22.0,4,1.7328679513998633
1,33,77,64,80,58,63,48,61,31,48,30,73,52,39,62,62,1,60.5,49.625,10.875,1,1,-10.875,15.851261779429421,4.9762617794294215,15.46316186942373,34.0,-14.0,4,2.0794415416798357
1,74,50,55,86,54,42,62,68,41,56,75,67,40,48,54,27,1,61.375,51.0,10.375,1,1,-10.375,15.30236909762668,4.927369097626681,19.370967322258327,41.0,-20.0,2,1.9061547465398496
1,49,74,60,33,70,39,39,55,81,38,65,49,56,71,72,80,0,52.375,64.0,-11.625,0,1,-11.625,15.816526167272002,4.191526167272002,23.59521932510906,36.0,-33.0,-4,1.9061547465398496
1,55,45,21,57,69,69,53,44,70,84,48,82,53,43,61,56,0,51.625,62.125,-10.5,0,1,-10.5,15.810861245780805,5.310861245780805,20.48780124854788,26.0,-39.0,-4,2.0794415416798357
1,39,56,57,67,44,51,40,80,54,51,95,56,74,54,56,77,0,54.25,64.625,-10.375,0,1,-10.375,15.366494937579834,4.991494937579834,16.309027408156503,11.0,-38.0,-2,2.0794415416798357
1,67,35,37,28,57,31,32,23,53,60,38,60,48,59,18,61,0,38.75,49.625,-10.875,0,1,-10.875,15.647017820232286,4.772017820232286,20.630302348729646,14.0,-38.0,-2,1.9061547465398496
1,46,51,48,69,74,63,25,62,66,34,51,47,44,40,57,20,1,54.75,44.875,9.875,1,1,-9.875,15.28057045182978,5.40557045182978,24.028303623019248,42.0,-32.0,2,2.0794415416798357
1,59,61,65,39,76,46,41,36,48,51,59,28,32,65,20,44,1,52.875,43.375,9.5,1,1,-9.5,15.309583055502634,5.8095830555026335,17.528548142958105,44.0,-19.0,4,1.9061547465398496
1,84,41,46,48,43,50,48,68,66,29,48,39,44,44,19,56,1,53.5,43.125,10.375,1,1,-10.375,15.230315164171751,4.855315164171751,9.44639481495454,29.0,-2.0,4,1.9061547465398496
1,32,65,66,41,58,37,61,34,78,48,69,83,63,50,48,44,0,49.25,60.375,-11.125,0,1,-11.125,15.432514377119498,4.307514377119498,21.362569484965988,17.0,-46.0,-4,2.0794415416798357
1,31,32,29,49,49,69,24,53,56,48,61,50,40,27,69,67,0,42.0,52.25,-10.25,0,1,-10.25,15.235375501334605,4.985375501334605,25.326616434099524,42.0,-45.0,-4,2.0794415416798357
1,67,45,47,41,70,65,25,49,55,51,57,61,59,41,62,96,0,51.125,60.25,-9.125,0,1,-9.125,15.822847404939479,6.697847404939479,23.15403582531564,24.0,-47.0,-2,2.0794415416798357
1,52,48,58,43,74,34,51,27,39,40,17,38,20,48,42,68,1,48.375,39.0,9.375,1,1,-9.375,15.473498850184681,6.098498850184681,27.635744516839058,54.0,-41.0,4,2.0794415416798357
